team,home_team,date,H_opp_p,R_opp_p,ER_opp_p,BB_opp_p,SO_opp_p,HR_opp_p,HBP_opp_p,ERA_opp_p,2B_opp_p,3B_opp_p,IBB_opp_p,GDP_opp_p,SF_opp_p,SB_opp_p,CS_opp_p,PO_opp_p,BF_opp_p,Pit_opp_p,Str_opp_p,StL_opp_p,StS_opp_p,GB/FB_opp_p,LD_opp_p,PU_opp_p,WHIP_opp_p,BAbip_opp_p,SO9_opp_p,SO/W_opp_p,game_date_id
Angels,Orioles,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Orioles,Orioles,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Nationals,Reds,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Reds,Reds,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Giants,Padres,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Padres,Padres,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Cardinals,Dodgers,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Dodgers,Dodgers,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Blue Jays,Rays,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Rays,Rays,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Twins,Royals,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Royals,Royals,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Tigers,White Sox,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
White Sox,White Sox,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Pirates,Marlins,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Marlins,Marlins,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Yankees,Astros,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Astros,Astros,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Cubs,Rangers,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Rangers,Rangers,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Guardians,Athletics,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Athletics,Athletics,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Rockies,D-backs,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
D-backs,D-backs,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Red Sox,Mariners,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Mariners,Mariners,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
